Source SGT:String(32):Required,Destination SGT:String(32):Required,SGACL Name:String(32):Required,Rule Status:String(enabled|disabled|monitor):Required
EKO,TESTSGT23,EMPTY,enabled
EKO,TESTSGT3,EMPTY,enabled
EKO,TESTSGT4,EMPTY,enabled
EKO,TESTSGT5,EMPTY,enabled
EKO,TESTSGT6,EMPTY,enabled
EKO,TESTSGT7,EMPTY,enabled
EKO,TESTSGT8,EMPTY,enabled
EKO,THIN,EMPTY,enabled
EKO,TLF,EMPTY,enabled
EKO,TOIP,EMPTY,enabled
EKO,UPS,EMPTY,enabled
EKO,Unknown,EMPTY,enabled
EKO,VISIT,EMPTY,enabled
EKO,WCOR,EMPTY,enabled
EKO,WGUEST,EMPTY,enabled
EKO,WINT,EMPTY,enabled
EKO,WMIR,EMPTY,enabled
EKO,WPDA,EMPTY,enabled
EKO,WVOIP,EMPTY,enabled
EKO,asier,EMPTY,enabled
EKO,istvan,EMPTY,enabled
EKO,Quarantined_Systems,EMPTY,enabled
EKO,dddd,EMPTY,enabled
EKO,Abelardo,EMPTY,enabled
EKO,Luis,EMPTY,enabled
EKO,istvan3,EMPTY,enabled
EKO,MariLuz,EMPTY,enabled
EXT,AP,EMPTY,enabled
EXT,AUT,EMPTY,enabled
EXT,COR,EMPTY,enabled
EXT,EKO,EMPTY,enabled
EXT,EXT,EMPTY,enabled
EXT,FMC,EMPTY,enabled
EXT,GuestMobile,EMPTY,enabled
EXT,GuestWS,EMPTY,enabled
EXT,Guests,EMPTY,enabled
EXT,JuanP,EMPTY,enabled
EXT,LAB1,EMPTY,enabled
EXT,LAB2,EMPTY,enabled
EXT,Lorenzo,EMPTY,enabled
EXT,MM,EMPTY,enabled
EXT,PACO,EMPTY,enabled
EXT,PRINT,EMPTY,enabled
EXT,REPSOL,EMPTY,enabled
EXT,TESTSGT21,EMPTY,enabled
EXT,TESTSGT22,EMPTY,enabled
EXT,TESTSGT23,EMPTY,enabled
EXT,TESTSGT3,EMPTY,enabled
EXT,TESTSGT4,EMPTY,enabled
EXT,TESTSGT5,EMPTY,enabled
EXT,TESTSGT6,EMPTY,enabled
EXT,TESTSGT7,EMPTY,enabled
EXT,TESTSGT8,EMPTY,enabled
EXT,THIN,EMPTY,enabled
EXT,TLF,EMPTY,enabled
EXT,TOIP,EMPTY,enabled
EXT,UPS,EMPTY,enabled
EXT,Unknown,EMPTY,enabled
EXT,VISIT,EMPTY,enabled
EXT,WGUEST,EMPTY,enabled
EXT,WINT,EMPTY,enabled
EXT,WMIR,EMPTY,enabled
EXT,WPDA,EMPTY,enabled
EXT,WVOIP,EMPTY,enabled
EXT,asier,EMPTY,enabled
EXT,istvan,EMPTY,enabled
EXT,Quarantined_Systems,EMPTY,enabled
EXT,dddd,EMPTY,enabled
EXT,Abelardo,EMPTY,enabled
EXT,Luis,EMPTY,enabled
EXT,istvan3,EMPTY,enabled
EXT,MariLuz,EMPTY,enabled
FMC,AP,EMPTY,enabled
FMC,AUT,EMPTY,enabled
FMC,COR,EMPTY,enabled
FMC,EKO,EMPTY,enabled
FMC,EXT,EMPTY,enabled
FMC,FMC,EMPTY,enabled
FMC,GuestMobile,EMPTY,enabled
FMC,GuestWS,EMPTY,enabled
FMC,Guests,EMPTY,enabled
FMC,JuanP,EMPTY,enabled
FMC,LAB1,EMPTY,enabled
FMC,LAB2,EMPTY,enabled
FMC,Lorenzo,EMPTY,enabled
FMC,MM,EMPTY,enabled
FMC,PACO,EMPTY,enabled
FMC,PRINT,EMPTY,enabled
FMC,REPSOL,EMPTY,enabled
FMC,TESTSGT21,EMPTY,enabled
FMC,TESTSGT22,EMPTY,enabled
FMC,TESTSGT23,EMPTY,enabled
FMC,TESTSGT3,EMPTY,enabled
FMC,TESTSGT4,EMPTY,enabled
FMC,TESTSGT5,EMPTY,enabled
FMC,TESTSGT6,EMPTY,enabled
FMC,TESTSGT7,EMPTY,enabled
FMC,TESTSGT8,EMPTY,enabled
FMC,THIN,EMPTY,enabled
FMC,TLF,EMPTY,enabled
FMC,TOIP,EMPTY,enabled
FMC,UPS,EMPTY,enabled
FMC,Unknown,EMPTY,enabled
FMC,VISIT,EMPTY,enabled
FMC,WCOR,EMPTY,enabled
FMC,WGUEST,EMPTY,enabled
FMC,WINT,EMPTY,enabled
FMC,WMIR,EMPTY,enabled
FMC,WPDA,EMPTY,enabled
FMC,WVOIP,EMPTY,enabled
FMC,asier,EMPTY,enabled
FMC,istvan,EMPTY,enabled
FMC,Quarantined_Systems,EMPTY,enabled
FMC,dddd,EMPTY,enabled
FMC,Abelardo,EMPTY,enabled
FMC,Luis,EMPTY,enabled
FMC,istvan3,EMPTY,enabled
FMC,MariLuz,EMPTY,enabled
GuestMobile,AP,EMPTY,enabled
GuestMobile,AUT,EMPTY,enabled
GuestMobile,COR,EMPTY,enabled
GuestMobile,EKO,EMPTY,enabled
