Source SGT:String(32):Required,Destination SGT:String(32):Required,SGACL Name:String(32):Required,Rule Status:String(enabled|disabled|monitor):Required
COR,Luis,EMPTY,Enabled
COR,MM,EMPTY,Enabled
COR,MariLuz,EMPTY,Enabled
COR,PACO,EMPTY,Enabled
COR,PRINT,EMPTY,Enabled
COR,Quarantined_Systems,EMPTY,Enabled
COR,REPSOL,EMPTY,Enabled
COR,TESTSGT21,EMPTY,Enabled
COR,TESTSGT22,EMPTY,Enabled
COR,TESTSGT23,EMPTY,Enabled
COR,TESTSGT3,EMPTY,Enabled
COR,TESTSGT4,EMPTY,Enabled
COR,TESTSGT5,EMPTY,Enabled
COR,TESTSGT6,EMPTY,Enabled
COR,TESTSGT7,EMPTY,Enabled
COR,TESTSGT8,EMPTY,Enabled
COR,THIN,EMPTY,Enabled
COR,TLF,EMPTY,Enabled
COR,TOIP,EMPTY,Enabled
COR,UPS,EMPTY,Enabled
COR,Unknown,EMPTY,Enabled
COR,VISIT,EMPTY,Enabled
COR,WCOR,EMPTY,Enabled
COR,WGUEST,EMPTY,Enabled
COR,WINT,EMPTY,Enabled
COR,WMIR,EMPTY,Enabled
COR,WPDA,EMPTY,Enabled
COR,WVOIP,EMPTY,Enabled
COR,asier,AllowWeb,Enabled
COR,dddd,EMPTY,Enabled
COR,istvan,EMPTY,Enabled
COR,istvan3,EMPTY,Enabled
EKO,AP,EMPTY,Enabled
EKO,AUT,TESTSDA,Enabled
EKO,Abelardo,EMPTY,Enabled
EKO,COR,EMPTY,Enabled
EKO,EKO,EMPTY,Enabled
EKO,EXT,EMPTY,Enabled
EKO,FMC,EMPTY,Enabled
EKO,GuestMobile,EMPTY,Enabled
EKO,GuestWS,EMPTY,Enabled
EKO,Guests,EMPTY,Enabled
EKO,JuanP,EMPTY,Enabled
EKO,LAB1,EMPTY,Enabled
EKO,LAB2,EMPTY,Enabled
EKO,Lorenzo,EMPTY,Enabled
EKO,Luis,EMPTY,Enabled
EKO,MM,EMPTY,Enabled
EKO,MariLuz,EMPTY,Enabled
EKO,PACO,EMPTY,Enabled
EKO,PRINT,EMPTY,Enabled
EKO,Quarantined_Systems,EMPTY,Enabled
EKO,REPSOL,EMPTY,Enabled
EKO,TESTSGT21,EMPTY,Enabled
EKO,TESTSGT22,EMPTY,Enabled
EKO,TESTSGT23,EMPTY,Enabled
EKO,TESTSGT3,EMPTY,Enabled
EKO,TESTSGT4,EMPTY,Enabled
EKO,TESTSGT5,EMPTY,Enabled
EKO,TESTSGT6,EMPTY,Enabled
EKO,TESTSGT7,EMPTY,Enabled
EKO,TESTSGT8,EMPTY,Enabled
EKO,THIN,EMPTY,Enabled
EKO,TLF,EMPTY,Enabled
EKO,TOIP,EMPTY,Enabled
EKO,UPS,EMPTY,Enabled
EKO,Unknown,EMPTY,Enabled
EKO,VISIT,EMPTY,Enabled
EKO,WCOR,EMPTY,Enabled
